x,y,depth,u,A,SG,SGI,SedRate
4.155262e+05,3.851988e+06,2.211400e+01,2.307661e-01,9.006000e+04,1.588310e-02,1.720598e-10,0.000000e+00
4.157860e+05,3.852138e+06,2.225000e+01,2.332314e-01,9.006000e+04,1.561915e-02,1.692005e-10,0.000000e+00
4.160458e+05,3.852288e+06,2.232100e+01,2.353497e-01,9.006000e+04,1.542934e-02,1.671443e-10,0.000000e+00
4.163056e+05,3.852438e+06,2.238100e+01,2.391784e-01,9.006000e+04,1.514164e-02,1.640277e-10,0.000000e+00
4.165654e+05,3.852588e+06,2.234300e+01,2.441285e-01,9.006000e+04,1.485985e-02,1.609751e-10,0.000000e+00
4.168252e+05,3.852738e+06,2.247000e+01,2.492206e-01,9.006000e+04,1.447396e-02,1.567948e-10,0.000000e+00
4.170850e+05,3.852888e+06,2.243500e+01,2.533433e-01,9.006000e+04,1.426064e-02,1.544839e-10,0.000000e+00
4.173448e+05,3.853038e+06,2.294800e+01,2.531803e-01,9.006000e+04,1.395082e-02,1.511276e-10,0.000000e+00
4.176046e+05,3.853188e+06,2.319600e+01,2.457895e-01,9.006000e+04,1.421668e-02,1.540076e-10,0.000000e+00
4.178644e+05,3.853338e+06,2.298600e+01,2.329266e-01,9.009002e+04,1.514387e-02,1.639971e-10,0.000000e+00
4.181243e+05,3.853488e+06,2.300300e+01,2.140014e-01,9.006000e+04,1.646544e-02,1.783682e-10,0.000000e+00
4.183841e+05,3.853638e+06,2.306800e+01,1.932944e-01,9.006000e+04,1.817797e-02,1.969199e-10,0.000000e+00
4.186439e+05,3.853788e+06,2.308900e+01,1.758783e-01,9.006000e+04,1.995984e-02,2.162226e-10,0.000000e+00
4.189037e+05,3.853938e+06,2.313800e+01,1.572849e-01,9.006000e+04,2.227212e-02,2.412713e-10,0.000000e+00
4.191635e+05,3.854088e+06,2.298700e+01,1.391476e-01,9.006000e+04,2.534057e-02,2.745115e-10,0.000000e+00
4.194233e+05,3.854238e+06,2.233800e+01,1.256533e-01,9.006000e+04,2.887727e-02,3.128242e-10,0.000000e+00
4.196831e+05,3.854388e+06,1.920800e+01,3.101720e-01,9.006000e+04,1.360472e-02,1.473784e-10,0.000000e+00
4.199429e+05,3.854538e+06,1.347700e+01,1.280405e-01,9.006000e+04,4.697145e-02,5.088364e-10,0.000000e+00
4.212419e+05,3.855288e+06,1.681500e+01,1.411214e-01,9.009002e+04,3.416878e-02,3.700232e-10,0.000000e+00
